package,version,license,source
svelte,5.56.10,MIT,package-lock.json
svelte-check,4.7.6,MIT,package-lock.json
symbol-tree,3.2.4,MIT,package-lock.json
term-size,2.2.1,MIT,package-lock.json
tinybench,2.9.0,MIT,package-lock.json
tinyexec,1.3.0,MIT,package-lock.json
tinyglobby,0.2.17,MIT,package-lock.json
tinyrainbow,3.1.1,MIT,package-lock.json
tldts,7.4.11,MIT,package-lock.json
tldts-core,7.4.11,MIT,package-lock.json
to-regex-range,5.0.1,MIT,package-lock.json
tough-cookie,6.0.2,BSD-3-Clause,package-lock.json
tr46,6.0.0,MIT,package-lock.json
tree-kill,1.2.2,MIT,package-lock.json
tslib,2.8.1,0BSD,package-lock.json
typescript,5.9.3,Apache-2.0,package-lock.json
undici-types,6.21.0,MIT,package-lock.json
universalify,0.1.2,MIT,package-lock.json
vite,7.3.6,MIT,package-lock.json
vitefu,1.1.3,MIT,package-lock.json
vitest,4.1.11,MIT,package-lock.json
w3c-xmlserializer,5.0.0,MIT,package-lock.json
webidl-conversions,8.0.1,BSD-2-Clause,package-lock.json
whatwg-mimetype,4.0.0,MIT,package-lock.json
whatwg-mimetype,5.0.0,MIT,package-lock.json
whatwg-url,15.1.0,MIT,package-lock.json
which,2.0.2,ISC,package-lock.json
why-is-node-running,2.3.0,MIT,package-lock.json
ws,8.21.3,MIT,package-lock.json
xml-name-validator,5.0.0,Apache-2.0,package-lock.json
xmlchars,2.2.0,MIT,package-lock.json
zimmerframe,1.1.4,MIT,package-lock.json
