package,version,license,source
@jridgewell/trace-mapping,0.3.9,MIT,website/package-lock.json
@napi-rs/wasm-runtime,1.2.3,MIT,website/package-lock.json
@oslojs/encoding,1.1.0,MIT,website/package-lock.json
@oxc-project/types,0.147.0,MIT,website/package-lock.json
@playwright/test,1.62.1,Apache-2.0,website/package-lock.json
@poppinss/colors,4.1.6,MIT,website/package-lock.json
@poppinss/dumper,0.6.5,MIT,website/package-lock.json
@poppinss/exception,1.2.3,MIT,website/package-lock.json
@rolldown/binding-android-arm-eabi,1.2.6,MIT,website/package-lock.json
@rolldown/binding-android-arm64,1.2.6,MIT,website/package-lock.json
@rolldown/binding-darwin-arm64,1.2.6,MIT,website/package-lock.json
@rolldown/binding-darwin-x64,1.2.6,MIT,website/package-lock.json
@rolldown/binding-freebsd-x64,1.2.6,MIT,website/package-lock.json
@rolldown/binding-linux-arm-gnueabihf,1.2.6,MIT,website/package-lock.json
@rolldown/binding-linux-arm64-gnu,1.2.6,MIT,website/package-lock.json
@rolldown/binding-linux-arm64-musl,1.2.6,MIT,website/package-lock.json
@rolldown/binding-linux-ppc64-gnu,1.2.6,MIT,website/package-lock.json
@rolldown/binding-linux-s390x-gnu,1.2.6,MIT,website/package-lock.json
@rolldown/binding-linux-x64-gnu,1.2.6,MIT,website/package-lock.json
@rolldown/binding-linux-x64-musl,1.2.6,MIT,website/package-lock.json
@rolldown/binding-openharmony-arm64,1.2.6,MIT,website/package-lock.json
@rolldown/binding-win32-arm64-msvc,1.2.6,MIT,website/package-lock.json
@rolldown/binding-win32-x64-msvc,1.2.6,MIT,website/package-lock.json
@rolldown/pluginutils,1.0.1,MIT,website/package-lock.json
@shikijs/core,4.4.3,MIT,website/package-lock.json
@shikijs/engine-javascript,4.4.3,MIT,website/package-lock.json
@shikijs/engine-oniguruma,4.4.3,MIT,website/package-lock.json
@shikijs/langs,4.4.3,MIT,website/package-lock.json
@shikijs/primitive,4.4.3,MIT,website/package-lock.json
@shikijs/themes,4.4.3,MIT,website/package-lock.json
@shikijs/types,4.4.3,MIT,website/package-lock.json
@shikijs/vscode-textmate,10.0.2,MIT,website/package-lock.json
@sindresorhus/is,7.2.0,MIT,website/package-lock.json
@speed-highlight/core,1.2.24,CC0-1.0,website/package-lock.json
@standard-schema/spec,1.1.0,MIT,website/package-lock.json
@tybys/wasm-util,0.10.3,MIT,website/package-lock.json
@types/chai,5.2.3,MIT,website/package-lock.json
@types/deep-eql,4.0.2,MIT,website/package-lock.json
@types/esrecurse,4.3.1,MIT,website/package-lock.json
@types/estree,1.0.9,MIT,website/package-lock.json
